ITEM_NUMBER,CUSTOMER_NUMBER,CUSTOMER_NAME,AD_AMOUNT,DATE_FROM,DATE_TO
EVL40893T50BK,206409,"AMAZON.COM, INC. DROP SHIP",20.97,5/11/2025,5/17/2025
EVL40893T50BZ,206409,"AMAZON.COM, INC. DROP SHIP",20.97,5/11/2025,5/17/2025
EVL40893T50WH-6,206409,"AMAZON.COM, INC. DROP SHIP",20.97,5/11/2025,5/17/2025
EVL61093T50WH-6,206409,"AMAZON.COM, INC. DROP SHIP",20.97,5/11/2025,5/17/2025
EVL40893T50BK-6,206409,"AMAZON.COM, INC. DROP SHIP",20.97,5/11/2025,5/17/2025
RB6BK9105C6,206409,"AMAZON.COM, INC. DROP SHIP",34.76,5/11/2025,5/17/2025
RB6BZ9105C6,206409,"AMAZON.COM, INC. DROP SHIP",34.76,5/11/2025,5/17/2025
RB6WH9105C12,206409,"AMAZON.COM, INC. DROP SHIP",34.76,5/11/2025,5/17/2025
FP-GLT52B30-BN,200264,LOWES.COM - Vendor# 101994,175.86,5/11/2025,5/17/2025
FP-GLT52B30-MB,200264,LOWES.COM - Vendor# 101994,191.17,5/11/2025,5/17/2025
FP-GLT52B30-MW,200264,LOWES.COM - Vendor# 101994,166.32,5/11/2025,5/17/2025
FP-STL52B30-BN,200264,LOWES.COM - Vendor# 101994,74.22,5/11/2025,5/17/2025
FP-STL52B30-MB,200264,LOWES.COM - Vendor# 101994,179.82,5/11/2025,5/17/2025
FP-STL52B30-MW,200264,LOWES.COM - Vendor# 101994,181.6,5/11/2025,5/17/2025
FS-CSN52RGB-BN,200264,LOWES.COM - Vendor# 101994,65.36,5/11/2025,5/17/2025
FS-CSN52RGB-MB,200264,LOWES.COM - Vendor# 101994,199.82,5/11/2025,5/17/2025
